acc_id,geohash,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
131631_2018,u1qcvh,9.719381992000024,52.366076236000026,2018,4,18,7,0,1,5,1
132183_2018,u1qcvh,9.714980812000023,52.361995289000035,2018,5,18,4,0,0,1,1
132637_2018,u1qcvh,9.716445853000039,52.362942605000065,2018,5,20,3,0,1,5,1
132934_2018,u1qcvh,9.720911321000074,52.36181119800006,2018,6,7,7,0,0,7,1
133970_2018,u1qcvh,9.71915617700006,52.365790670000074,2018,7,13,2,0,0,1,1
133980_2018,u1qcvh,9.722322998000038,52.36093112000003,2018,6,17,5,0,6,7,1
134014_2018,u1qcvh,9.719793593000075,52.36591542500002,2018,7,7,6,0,0,7,1
134718_2018,u1qcvh,9.721211154000061,52.361618735000036,2018,8,0,4,0,5,2,1
135366_2018,u1qcvh,9.71615865900003,52.362569646000054,2018,8,18,4,0,0,1,1
135958_2018,u1qcvh,9.715817469000058,52.362964575000035,2018,9,17,5,0,0,1,1
136286_2018,u1qcvh,9.715351871000053,52.36168913800003,2018,9,17,1,0,0,1,1
136290_2018,u1qcvh,9.719522222000023,52.36208704000007,2018,9,8,1,0,5,3,1
138570_2018,u1qcvh,9.717723027000032,52.36431849100006,2018,12,19,6,1,6,2,1
138864_2018,u1qcvh,9.713847786000034,52.361104685000036,2018,12,18,7,1,2,6,1
14351_2018,u1qfpx,9.828578740000069,52.42400215100008,2018,5,0,6,0,3,1,1
19517_2018,u1qfpx,9.832205864000061,52.42217557600002,2018,8,16,3,0,5,3,1
132515_2018,u1qfpx,9.830729970000052,52.426663570000066,2018,5,11,3,0,2,6,1
133159_2018,u1qfpx,9.829583297000056,52.42525450100004,2018,6,17,4,0,0,1,1
138594_2018,u1qfpx,9.826436823000053,52.42132924500004,2018,12,7,2,0,6,2,1
14951_2018,u1qf5m,9.64333125500002,52.41433222900008,2018,5,16,4,0,3,6,1
17607_2018,u1qf5m,9.642270901000074,52.41457688500003,2018,7,18,2,0,2,7,1
18054_2018,u1qf5m,9.642538392000064,52.41465387100004,2018,7,11,6,0,2,6,1
18311_2018,u1qf5m,9.642597996000065,52.414638453000066,2018,7,9,3,1,3,6,1
19827_2018,u1qf5m,9.642648852000038,52.414625296000054,2018,8,9,2,0,3,6,1
22610_2018,u1qf5m,9.642226809000023,52.414588785000035,2018,10,19,1,0,5,3,1
25523_2018,u1qf5m,9.641972638000027,52.41466722100006,2018,12,13,2,0,2,6,1
129264_2018,u1qf5m,9.642978613000023,52.415036635000035,2018,1,14,6,1,3,6,1
14610_2018,u1qcwq,9.776439607000043,52.328814325000046,2018,5,15,4,0,6,4,1
17737_2018,u1qcwq,9.77346635300006,52.33225334600007,2018,7,13,7,0,2,6,1
23032_2018,u1qcwq,9.77696284700005,52.33296817700006,2018,10,8,5,1,3,6,1
23194_2018,u1qcwq,9.77388995900003,52.33178633100005,2018,10,14,7,0,6,2,1
23245_2018,u1qcwq,9.774523112000054,52.331301362000026,2018,10,16,3,1,2,6,1
23280_2018,u1qcwq,9.773552315000076,52.33249311300006,2018,10,15,3,1,5,3,1
130455_2018,u1qcwq,9.775740160000057,52.329002150000065,2018,3,15,6,0,6,7,1
133850_2018,u1qcwq,9.772125741000023,52.33049558700003,2018,7,20,1,0,0,1,1
134277_2018,u1qcwq,9.767886197000053,52.332242937000046,2018,7,18,7,0,0,7,1
138707_2018,u1qcwq,9.767996004000054,52.33277043400005,2018,12,11,4,0,0,5,1
16913_2018,u1qfnc,9.792764001000023,52.39363902700006,2018,6,13,4,0,2,6,1
129768_2018,u1qfnc,9.794249330000072,52.393554925000046,2018,2,14,6,0,5,3,1
131010_2018,u1qfnc,9.796618324000065,52.39237546700007,2018,3,16,4,1,2,6,1
133077_2018,u1qfnc,9.796625127000027,52.38938625100008,2018,6,15,5,0,5,2,1
134466_2018,u1qfnc,9.794379251000066,52.39340669400009,2018,7,2,3,0,5,3,1
12605_2018,u1qcgy,9.667362362000064,52.37707088600007,2018,4,17,2,0,5,2,1
16114_2018,u1qcgy,9.663650732000065,52.37697361100004,2018,6,9,3,0,0,1,1
16138_2018,u1qcgy,9.664208225000039,52.37696340800005,2018,6,20,5,1,3,6,1
21629_2018,u1qcgy,9.662739615000019,52.37696860100005,2018,9,13,5,0,0,6,1
26021_2018,u1qcgy,9.661563326000019,52.376962124000045,2018,12,12,7,1,6,2,1
128952_2018,u1qcgy,9.667345054000066,52.37703430200003,2018,1,11,4,1,5,2,1
130481_2018,u1qcgy,9.667591424000024,52.37321054300002,2018,3,7,4,0,5,3,1
131874_2018,u1qcgy,9.66725398500006,52.37618969600004,2018,5,14,6,0,5,3,1
132987_2018,u1qcgy,9.667465892000052,52.377074489000044,2018,6,10,6,0,6,2,1
133846_2018,u1qcgy,9.666159430000052,52.37469585300005,2018,6,8,6,0,0,7,1
138203_2018,u1qcgy,9.667509060000043,52.37312500700006,2018,11,13,4,0,2,2,1
21462_2018,u1qfjp,9.71403367800002,52.42229115800006,2018,9,15,6,1,4,6,1
132672_2018,u1qfjp,9.722156970000073,52.42238911700007,2018,6,15,3,0,4,2,1
134214_2018,u1qfjp,9.722236116000033,52.42618703700003,2018,7,18,4,0,3,5,1
9638_2018,u1qcvm,9.730213768000057,52.36895850700007,2018,1,18,2,0,5,3,1
10948_2018,u1qcvm,9.732072705000064,52.36946746400008,2018,2,17,6,0,3,6,1
11581_2018,u1qcvm,9.730354169000066,52.37095562800005,2018,2,12,4,0,5,3,1
12251_2018,u1qcvm,9.731826959000047,52.36945210300007,2018,3,9,6,1,5,3,1
13070_2018,u1qcvm,9.732225745000052,52.36967610000005,2018,4,17,2,0,5,3,1
13612_2018,u1qcvm,9.730522568000026,52.370760284000035,2018,4,18,3,0,5,2,1
14083_2018,u1qcvm,9.731946254000036,52.36946346900003,2018,5,21,4,0,5,3,1
14949_2018,u1qcvm,9.730213768000057,52.36895850700007,2018,5,14,5,0,5,3,1
15316_2018,u1qcvm,9.72844843200005,52.36800943200007,2018,5,10,2,0,4,2,1
16050_2018,u1qcvm,9.732131886000047,52.369107720000045,2018,6,15,6,0,8,7,1
17047_2018,u1qcvm,9.732801823000042,52.369343145000066,2018,6,19,6,0,2,6,1
18034_2018,u1qcvm,9.727170318000047,52.366999154000034,2018,7,12,4,1,2,6,1
19271_2018,u1qcvm,9.722984760000033,52.368233915000076,2018,8,16,5,1,5,2,1
19347_2018,u1qcvm,9.730148061000023,52.36892979100002,2018,8,8,3,0,5,3,1
19399_2018,u1qcvm,9.733539576000057,52.36917275400003,2018,8,10,2,1,5,3,1
19417_2018,u1qcvm,9.723478134000061,52.36804587400008,2018,8,8,5,0,4,6,1
19635_2018,u1qcvm,9.73233852900006,52.36944906100007,2018,8,16,4,0,0,3,1
19834_2018,u1qcvm,9.727102287000038,52.36693714400008,2018,8,7,2,0,2,2,1
19867_2018,u1qcvm,9.73151445600007,52.37015341800002,2018,8,16,1,0,0,7,1
19967_2018,u1qcvm,9.731439230000037,52.36937201400009,2018,8,18,5,0,5,3,1
20002_2018,u1qcvm,9.723308678000024,52.368111320000075,2018,8,7,5,0,3,6,1
20149_2018,u1qcvm,9.731277001000024,52.369321300000074,2018,8,18,1,0,8,1,1
20838_2018,u1qcvm,9.730551394000033,52.37110816900008,2018,9,17,5,1,2,6,1
21080_2018,u1qcvm,9.730213768000057,52.36895850700007,2018,9,15,6,0,5,2,1
22091_2018,u1qcvm,9.728484807000028,52.368035782000035,2018,10,15,7,0,5,3,1
22253_2018,u1qcvm,9.730715213000053,52.37092678100005,2018,10,10,2,0,3,6,1
22880_2018,u1qcvm,9.731847329000061,52.369401134000036,2018,10,15,5,1,3,6,1
22953_2018,u1qcvm,9.733820774000037,52.36892961800004,2018,11,13,7,0,2,6,1
23209_2018,u1qcvm,9.733297798000024,52.36921960300003,2018,10,2,6,0,5,3,1
23878_2018,u1qcvm,9.731620516000019,52.36952155700003,2018,11,17,3,0,5,2,1
24123_2018,u1qcvm,9.733386352000023,52.36900776400006,2018,11,17,4,0,0,1,1
25099_2018,u1qcvm,9.730213768000057,52.36895850700007,2018,12,9,3,0,5,3,1
25418_2018,u1qcvm,9.73044475100005,52.37084804300008,2018,12,20,7,1,2,6,1
129049_2018,u1qcvm,9.733774776000077,52.36930382200006,2018,1,22,3,1,0,1,1
130221_2018,u1qcvm,9.727724284000033,52.368351337000036,2018,2,14,5,0,5,3,1
130508_2018,u1qcvm,9.733731692000047,52.36928391200007,2018,3,18,2,0,5,3,1
131284_2018,u1qcvm,9.722941478000052,52.368956798000056,2018,4,5,2,0,6,7,1
131447_2018,u1qcvm,9.733661461000056,52.36926024100006,2018,4,18,4,0,2,6,1
131455_2018,u1qcvm,9.731606588000034,52.369532344000035,2018,4,12,4,0,2,6,1
132358_2018,u1qcvm,9.730172752000044,52.36859371600008,2018,5,13,2,0,5,3,1
132574_2018,u1qcvm,9.730191409000042,52.36857399400004,2018,5,6,4,0,5,3,1
135121_2018,u1qcvm,9.728296036000074,52.36808537100006,2018,8,11,5,0,5,3,1
135259_2018,u1qcvm,9.730921682000028,52.37070804900002,2018,8,13,7,0,2,6,1
137401_2018,u1qcvm,9.730994656000064,52.37073881600002,2018,10,20,7,0,0,7,1
137448_2018,u1qcvm,9.723148976000061,52.36982621200008,2018,10,9,5,0,5,2,1
137846_2018,u1qcvm,9.723384783000027,52.37079514900006,2018,11,15,3,0,0,7,1
137883_2018,u1qcvm,9.730107318000023,52.369046912000044,2018,11,20,2,1,5,3,1
137893_2018,u1qcvm,9.723271355000064,52.36968449800002,2018,11,9,3,0,6,4,1
138253_2018,u1qcvm,9.723198102000026,52.369040445000046,2018,11,10,3,0,5,3,1
13836_2018,u1qcup,9.675098078000076,52.38188511000004,2018,4,8,4,0,3,3,1
16501_2018,u1qcup,9.671657546000064,52.38244255800004,2018,6,7,5,0,3,2,1
17455_2018,u1qcup,9.674994018000064,52.38189965000004,2018,7,17,7,0,0,3,1
24807_2018,u1qcup,9.670878024000048,52.38265411800006,2018,12,7,6,1,6,2,1
24980_2018,u1qcup,9.675398633000043,52.37738922000007,2018,11,14,3,0,4,2,1
133756_2018,u1qcup,9.669666411000037,52.38173227900006,2018,7,12,2,0,5,3,1
138779_2018,u1qcup,9.678749243000027,52.37756259700007,2018,12,8,3,1,0,1,1
11559_2018,u1qf5q,9.635278582000069,52.41811400000007,2018,3,16,5,2,2,6,1
13920_2018,u1qf5q,9.635462201000053,52.418001334000046,2018,4,15,4,0,2,6,1
14277_2018,u1qf5q,9.635235471000042,52.41800810500007,2018,5,13,5,0,2,6,1
16309_2018,u1qf5q,9.635374555000057,52.41805511200005,2018,6,6,5,0,2,6,1
25334_2018,u1qf5q,9.638517699000033,52.41612950900002,2018,11,0,4,1,9,1,1
25339_2018,u1qf5q,9.636630280000077,52.41728485000005,2018,11,16,4,0,2,6,1
133164_2018,u1qf5q,9.637001886000064,52.41725407600006,2018,6,2,4,0,5,3,1
134939_2018,u1qf5q,9.637854383000047,52.41730061100003,2018,8,13,3,1,2,6,1
9895_2018,u1r40j,9.847054507000053,52.41274473500005,2018,1,11,5,1,2,6,1
12601_2018,u1r40j,9.845451669000058,52.41146291600006,2018,3,15,3,0,9,1,1
17773_2018,u1r40j,9.847280130000057,52.41302628800002,2018,7,16,5,0,3,6,1
18223_2018,u1r40j,9.844137946000046,52.41479677800004,2018,7,10,3,0,2,6,1
19351_2018,u1r40j,9.848149135000027,52.412347838000066,2018,8,13,4,0,2,6,1
20768_2018,u1r40j,9.84468878100006,52.41400577500008,2018,9,7,4,0,2,6,1
22235_2018,u1r40j,9.848306504000051,52.412262482000074,2018,10,13,5,0,2,6,1
23269_2018,u1r40j,9.848458174000028,52.41233529400007,2018,10,7,5,1,0,6,1
24832_2018,u1r40j,9.845578653000075,52.41425003600006,2018,11,4,2,1,9,1,1
130326_2018,u1r40j,9.848946756000034,52.41049602800007,2018,3,7,2,2,4,1,1
138445_2018,u1r40j,9.850332506000028,52.41319959800006,2018,12,10,2,1,8,1,1
15124_2018,u1qfjt,9.734039206000034,52.41554152500004,2018,5,15,6,0,2,6,1
15630_2018,u1qfjt,9.734027089000053,52.41264866400007,2018,5,19,5,0,2,6,1
25987_2018,u1qfjt,9.734574055000053,52.41146784400007,2018,12,12,4,0,5,2,1
129643_2018,u1qfjt,9.743878124000048,52.41130166900008,2018,1,7,3,0,5,3,1
135563_2018,u1qfjt,9.736734069000024,52.41246816900009,2018,8,8,4,0,2,6,1
135957_2018,u1qfjt,9.741045658000075,52.411263695000066,2018,9,13,4,0,6,4,1
137402_2018,u1qfjt,9.739700714000037,52.41225285400004,2018,10,16,5,1,1,1,1
9524_2018,u1qfhw,9.698375582000038,52.41729928700005,2018,1,17,3,0,2,6,1
10340_2018,u1qfhw,9.698513196000023,52.41721248100004,2018,2,15,4,0,2,6,1
12607_2018,u1qfhw,9.699893324000072,52.41631332100008,2018,3,18,5,1,2,6,1
14546_2018,u1qfhw,9.696080691000077,52.418746819000035,2018,5,11,6,0,5,3,1
16055_2018,u1qfhw,9.694647764000024,52.419603582000036,2018,6,23,4,0,5,3,1
16241_2018,u1qfhw,9.700034400000053,52.416219159000036,2018,6,13,5,0,5,2,1
16595_2018,u1qfhw,9.699878779000073,52.41632271800006,2018,6,17,7,0,8,1,1
18959_2018,u1qfhw,9.698703517000071,52.42100587800008,2018,8,13,2,0,0,7,1
20593_2018,u1qfhw,9.699671959000057,52.416456352000075,2018,9,14,3,0,2,6,1
24613_2018,u1qfhw,9.699852237000073,52.41633986800008,2018,11,9,7,1,2,6,1
25632_2018,u1qfhw,9.694711981000069,52.41956295500007,2018,12,13,5,0,5,3,1
135361_2018,u1qfhw,9.69464395600005,52.41952333900008,2018,8,12,7,0,2,6,1
138037_2018,u1qfhw,9.692722558000073,52.41903911600008,2018,11,14,3,1,0,1,1
11706_2018,u1qfhy,9.707825281000057,52.42062412800004,2018,3,9,5,2,0,3,1
11814_2018,u1qfhy,9.708972400000052,52.42087134700007,2018,3,16,2,1,5,2,1
13267_2018,u1qfhy,9.709591627000066,52.421079854000034,2018,4,12,3,0,6,7,1
14621_2018,u1qfhy,9.703204887000028,52.41581319700003,2018,5,12,4,0,2,6,1
130407_2018,u1qcyq,9.770893812000054,52.37597268500008,2018,3,18,6,0,5,2,1
135729_2018,u1qcyq,9.774394575000033,52.37201559100004,2018,9,7,4,0,2,6,1
136508_2018,u1qcyq,9.769122335000077,52.37659742600005,2018,9,12,1,1,0,7,1
137909_2018,u1qcyq,9.771984264000023,52.37287928800004,2018,11,10,6,1,0,7,1
138291_2018,u1qcyq,9.768081401000076,52.375356787000044,2018,11,16,5,1,8,1,1
13769_2018,u1qcv5,9.721305393000023,52.360750302000035,2018,4,17,5,0,5,2,1
15809_2018,u1qcv5,9.722557975000027,52.35805975100004,2018,6,23,7,0,5,3,1
21446_2018,u1qcv5,9.716121608000037,52.35832116300002,2018,9,16,3,0,6,6,1
22011_2018,u1qcv5,9.715230673000065,52.36043510600007,2018,10,21,3,1,4,1,1
24246_2018,u1qcv5,9.717063179000037,52.35639103600006,2018,11,17,5,0,3,2,1
130962_2018,u1qcv5,9.718312868000057,52.35951934900003,2018,4,22,6,0,0,1,1
131325_2018,u1qcv5,9.712497262000056,52.360788819000035,2018,4,8,4,0,3,6,1
132840_2018,u1qcv5,9.716638787000024,52.35796247900004,2018,5,12,4,1,0,1,1
133313_2018,u1qcv5,9.721591946000046,52.36079906500004,2018,6,14,6,0,5,3,1
133981_2018,u1qcv5,9.719788051000023,52.36049259600002,2018,7,18,2,0,5,3,1
135913_2018,u1qcv5,9.71969818200006,52.35985434600008,2018,9,16,2,0,4,6,1
10461_2018,u1qfqb,9.79871872700005,52.43100775000005,2018,2,15,5,0,2,6,1
15791_2018,u1qfqb,9.791645157000062,52.43021379300006,2018,6,17,4,0,2,6,1
21084_2018,u1qfqb,9.792755380000074,52.43039362300004,2018,9,15,6,0,2,6,1
24309_2018,u1qfqb,9.792921174000073,52.43058154600004,2018,11,8,4,0,1,7,1
10283_2018,u1qcy2,9.771781291000023,52.34296025500004,2018,1,8,3,0,3,6,1
136988_2018,u1qcy2,9.772618741000034,52.33904011400006,2018,10,11,2,0,0,2,1
10944_2018,u1qf5t,9.648123717000033,52.41288276300002,2018,2,9,6,0,2,6,1
