acc_id,geohash,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
127997_2017,u1qfj2,9.725523500000063,52.38396640900003,2017,2,14,1,0,4,6,1
128408_2017,u1qfj2,9.723041114000068,52.387170277000045,2017,3,10,1,0,6,7,1
128570_2017,u1qfj2,9.725335886000039,52.38350431500004,2017,3,14,2,1,2,6,1
128944_2017,u1qfj2,9.723730806000047,52.38663895300005,2017,4,20,2,0,0,5,1
129050_2017,u1qfj2,9.725425346000067,52.382844070000026,2017,4,9,2,0,3,5,1
130326_2017,u1qfj2,9.725019807000024,52.387441968000076,2017,5,8,4,0,5,2,1
130327_2017,u1qfj2,9.723980349000042,52.38621422300008,2017,5,10,4,0,1,5,1
130363_2017,u1qfj2,9.725343913000074,52.38331902200007,2017,5,17,3,1,5,3,1
133013_2017,u1qfj2,9.724294075000046,52.38742331600008,2017,8,10,6,0,5,7,1
134836_2017,u1qfj2,9.724714955000024,52.38489037500007,2017,10,9,6,0,1,5,1
135117_2017,u1qfj2,9.725060161000043,52.387357647000044,2017,11,15,2,0,0,1,1
135138_2017,u1qfj2,9.725025671000026,52.384318687000075,2017,11,0,1,0,1,5,1
135444_2017,u1qfj2,9.733543791000043,52.387475180000074,2017,11,15,2,0,6,4,1
135937_2017,u1qfj2,9.723507925000037,52.38701234900003,2017,12,9,6,0,6,4,1
10718_2018,u1qfj2,9.732318651000071,52.383274373000056,2018,2,14,1,0,5,2,1
10747_2018,u1qfj2,9.733754130000024,52.38454829200003,2018,2,18,6,0,2,6,1
15537_2018,u1qfj2,9.727535992000073,52.38696027100008,2018,5,14,6,0,2,6,1
15616_2018,u1qfj2,9.732584935000034,52.383715933000076,2018,5,12,5,0,2,6,1
16823_2018,u1qfj2,9.732345553000073,52.38343304400007,2018,6,13,1,0,5,3,1
16904_2018,u1qfj2,9.732084245000069,52.38338339800004,2018,6,15,6,0,2,6,1
17358_2018,u1qfj2,9.732359807000023,52.38345342100007,2018,6,18,5,0,5,2,1
18741_2018,u1qfj2,9.732277053000075,52.38333512500003,2018,8,20,1,0,4,2,1
19723_2018,u1qfj2,9.730384695000057,52.38378189300005,2018,8,12,2,0,5,3,1
19866_2018,u1qfj2,9.732261335000034,52.383094540000066,2018,8,10,5,0,0,1,1
21848_2018,u1qfj2,9.730219294000053,52.38383658300006,2018,9,15,7,0,3,5,1
24470_2018,u1qfj2,9.732342438000048,52.38342859100004,2018,12,7,2,1,2,6,1
25180_2018,u1qfj2,9.729433679000069,52.384972060000045,2018,11,16,3,0,2,6,1
129082_2018,u1qfj2,9.726156549000052,52.38403553100005,2018,1,8,4,1,6,4,1
129846_2018,u1qfj2,9.725640136000036,52.387873372000065,2018,2,14,2,0,6,4,1
131289_2018,u1qfj2,9.725096796000061,52.38392337200003,2018,4,19,2,0,0,3,1
131291_2018,u1qfj2,9.73256989300006,52.38313219600008,2018,4,17,2,0,2,6,1
131618_2018,u1qfj2,9.725453182000024,52.38396107700004,2018,5,8,6,0,5,2,1
131969_2018,u1qfj2,9.724254563000043,52.385726929000036,2018,5,11,3,0,6,7,1
132565_2018,u1qfj2,9.723464016000037,52.38707021000005,2018,5,10,6,0,3,6,1
132773_2018,u1qfj2,9.72429697900003,52.385650932000026,2018,6,9,1,0,6,4,1
133759_2018,u1qfj2,9.724342980000074,52.38743316500007,2018,7,12,2,0,2,6,1
133817_2018,u1qfj2,9.723407539000052,52.38716066300003,2018,7,15,3,0,4,2,1
133825_2018,u1qfj2,9.725072892000073,52.384219951000034,2018,7,12,3,0,2,2,1
133843_2018,u1qfj2,9.724175492000027,52.386128873000075,2018,6,18,6,0,5,3,1
134019_2018,u1qfj2,9.725391697000019,52.383189258000066,2018,7,7,2,0,0,5,1
134314_2018,u1qfj2,9.72442039300006,52.385429269000035,2018,7,16,2,0,5,2,1
137103_2018,u1qfj2,9.72523307700004,52.38330348100004,2018,10,15,5,0,5,2,1
79948_2019,u1qfj2,9.73227812400006,52.38311239700005,2019,6,11,6,0,2,6,1
80212_2019,u1qfj2,9.733455470000024,52.384444522000074,2019,6,8,2,0,4,6,1
80261_2019,u1qfj2,9.732374032000052,52.38347375300003,2019,6,19,1,0,2,2,1
81127_2019,u1qfj2,9.732318896000038,52.38339493800004,2019,7,7,3,0,5,2,1
82111_2019,u1qfj2,9.733822777000057,52.38599187600005,2019,8,16,5,0,2,6,1
82341_2019,u1qfj2,9.727530057000022,52.386969373000056,2019,8,10,3,1,8,1,1
82387_2019,u1qfj2,9.729681260000064,52.384168854000045,2019,7,13,4,0,1,5,1
82468_2019,u1qfj2,9.732285728000024,52.38312048400008,2019,8,18,2,1,5,2,1
82624_2019,u1qfj2,9.733642487000054,52.38445530600006,2019,8,1,4,0,0,1,1
82917_2019,u1qfj2,9.733143517000029,52.384042729000036,2019,8,7,2,0,3,6,1
83058_2019,u1qfj2,9.732301239000037,52.38313698300004,2019,8,8,6,0,5,3,1
83999_2019,u1qfj2,9.733550198000048,52.384378439000045,2019,8,19,4,0,4,6,1
84004_2019,u1qfj2,9.733611901000074,52.38456770200003,2019,8,14,4,0,0,3,1
85841_2019,u1qfj2,9.729856695000024,52.38402011200003,2019,9,7,5,1,5,2,1
86119_2019,u1qfj2,9.730993686000033,52.38362608900008,2019,10,9,6,1,5,2,1
86474_2019,u1qfj2,9.733444401000042,52.38443580600006,2019,10,14,7,0,5,3,1
89042_2019,u1qfj2,9.732205924000027,52.38325312100005,2019,12,5,6,0,5,3,1
89103_2019,u1qfj2,9.729317502000072,52.38551436200004,2019,12,19,4,0,2,2,1
89146_2019,u1qfj2,9.732413579000024,52.383258857000044,2019,12,9,5,0,5,2,1
90665_2019,u1qfj2,9.732124678000048,52.383366555000066,2019,1,8,2,0,0,6,1
92009_2019,u1qfj2,9.733418185000062,52.384414849000045,2019,3,8,4,0,2,6,1
222803_2019,u1qfj2,9.733763082000053,52.384396600000066,2019,6,16,5,0,5,2,1
223098_2019,u1qfj2,9.724900645000046,52.38768109500007,2019,6,9,5,0,5,2,1
224073_2019,u1qfj2,9.733810386000071,52.38469084400003,2019,7,16,5,0,2,2,1
224545_2019,u1qfj2,9.733810386000071,52.38469084400003,2019,7,17,7,1,9,1,1
225923_2019,u1qfj2,9.724950311000043,52.384449474000064,2019,9,17,3,0,1,5,1
225946_2019,u1qfj2,9.723653717000047,52.387294345000036,2019,9,7,2,1,6,2,1
226619_2019,u1qfj2,9.723846226000036,52.383720627000066,2019,9,2,7,0,4,6,1
227128_2019,u1qfj2,9.724510340000052,52.38526413300008,2019,10,12,7,0,6,7,1
230564_2019,u1qfj2,9.723499661000062,52.38726331700008,2019,3,9,3,0,6,2,1
231015_2019,u1qfj2,9.725064897000037,52.38733915300002,2019,3,14,7,0,2,6,1
232952_2019,u1qfj2,9.733810386000071,52.38469084400003,2019,5,16,6,0,5,3,1
9548_2017,u1qf5w,9.651355902000033,52.419586627000065,2017,1,17,4,1,5,2,1
15033_2017,u1qf5w,9.651366138000073,52.419518777000064,2017,5,13,4,0,5,2,1
16412_2017,u1qf5w,9.652122801000077,52.415920364000044,2017,6,12,2,0,5,3,1
17803_2017,u1qf5w,9.65172101500002,52.41711415800006,2017,7,14,4,1,5,3,1
25643_2017,u1qf5w,9.651637715000046,52.41768709700006,2017,12,8,4,1,6,6,1
17566_2018,u1qf5w,9.651441869000053,52.41900123300008,2018,6,17,4,0,3,6,1
17871_2018,u1qf5w,9.651711471000056,52.41717841300005,2018,7,15,2,0,2,2,1
21428_2018,u1qf5w,9.651794196000026,52.41662422500008,2018,9,22,3,0,3,2,1
133467_2018,u1qf5w,9.655376455000068,52.41969181300004,2018,6,13,4,0,5,3,1
80067_2019,u1qf5w,9.65135595800007,52.41958563600008,2019,6,6,3,0,5,2,1
86292_2019,u1qf5w,9.651719012000056,52.41712764000005,2019,10,18,3,0,5,3,1
95071_2019,u1qf5w,9.651690696000061,52.41731829100007,2019,5,13,3,1,5,3,1
223996_2019,u1qf5w,9.651405257000023,52.419564045000065,2019,7,14,2,0,2,1,1
9549_2017,u1qfje,9.735848291000023,52.39930338000005,2017,1,21,4,0,9,7,1
12162_2017,u1qfje,9.73584238600006,52.399371977000044,2017,3,11,3,0,5,2,1
13252_2017,u1qfje,9.73608037400004,52.40014175100004,2017,4,13,7,0,4,6,1
15765_2017,u1qfje,9.735629553000024,52.40308975100004,2017,6,16,3,0,6,4,1
17358_2017,u1qfje,9.735688714000048,52.400663433000034,2017,7,15,2,0,2,6,1
18527_2017,u1qfje,9.735357656000076,52.404565644000066,2017,7,14,7,0,5,3,1
19937_2017,u1qfje,9.735823251000056,52.40184251900007,2017,8,12,4,0,2,6,1
21876_2017,u1qfje,9.735653433000039,52.40294089500002,2017,9,11,7,1,6,5,1
23272_2017,u1qfje,9.735308842000054,52.402947400000066,2017,11,13,6,1,3,6,1
24996_2017,u1qfje,9.735552627000061,52.40353907500002,2017,12,21,6,0,5,3,1
25897_2017,u1qfje,9.735834749000048,52.39947244700004,2017,12,19,6,1,2,6,1
25940_2017,u1qfje,9.735697077000054,52.40265616600004,2017,12,16,5,0,2,6,1
128588_2017,u1qfje,9.740665921000073,52.40022104600007,2017,3,18,1,1,5,3,1
129553_2017,u1qfje,9.73785391100006,52.40351608100008,2017,5,18,1,0,1,7,1
