acc_id,geohash7,acc_long,acc_lat,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,STRZUSTAND,UART,UTYP1,count
174710_2018,u281v8p,11.502473746000021,48.12023879100008,2018,4,17,1,0,3,2,1
177881_2018,u281v8p,11.501869244000034,48.12019600100007,2018,5,17,3,0,5,2,1
182923_2018,u281v8p,11.502390584000068,48.121297470000066,2018,7,18,2,0,5,3,1
184379_2018,u281v8p,11.502344406000075,48.12017220000007,2018,8,15,1,0,3,2,1
187707_2018,u281v8p,11.502477019000025,48.120365919000044,2018,10,5,2,0,2,6,1
189905_2018,u281v8p,11.50247446700007,48.12026682400006,2018,11,17,1,0,1,6,1
191478_2018,u281v8p,11.502477466000073,48.120383259000036,2018,12,14,4,1,3,6,1
191947_2018,u281v8p,11.502626149000035,48.120139933000075,2018,12,11,2,0,4,3,1
211779_2019,u281v8p,11.502481880000062,48.12055469500007,2019,7,16,3,0,3,6,1
216015_2019,u281v8p,11.502476562000027,48.12034815400006,2019,8,14,4,0,3,6,1
171460_2017,u281zmq,11.577024467000058,48.14994395300005,2017,3,18,6,0,3,6,1
175026_2017,u281zmq,11.578056674000035,48.149687030000045,2017,6,12,5,0,0,7,1
173348_2018,u281zmq,11.577170480000065,48.14990498100008,2018,3,19,5,0,2,6,1
176007_2018,u281zmq,11.576855322000027,48.149989104000035,2018,4,19,4,0,0,6,1
178813_2018,u281zmq,11.577332745000035,48.14986166900008,2018,5,17,5,0,3,6,1
180111_2018,u281zmq,11.577506581000025,48.14981526700007,2018,6,21,2,0,0,6,1
215150_2019,u281zmq,11.578056674000035,48.14968703100004,2019,8,21,4,0,5,3,1
221223_2019,u281zmq,11.577847649000034,48.149362680000074,2019,11,20,5,0,2,6,1
171461_2017,u284p69,11.570169509000035,48.17859199300006,2017,3,16,6,0,5,3,1
187045_2017,u284p69,11.571068865000026,48.178937336000054,2017,12,15,2,0,4,6,1
189834_2018,u284p69,11.570676866000042,48.17867357400007,2018,10,16,4,0,0,7,1
171462_2017,u284j6b,11.481054923000045,48.18042339000005,2017,3,18,6,0,5,3,1
207075_2019,u284j6b,11.481054923000045,48.18042339000005,2019,4,11,6,0,5,3,1
171463_2017,u284q8h,11.542301292000046,48.20836381100002,2017,3,8,6,0,1,5,1
174256_2018,u284q8h,11.542348343000073,48.20856088800008,2018,3,6,3,1,3,5,1
212935_2019,u284q8h,11.54250950200003,48.209235257000046,2019,7,16,5,1,4,2,1
171464_2017,u284n7k,11.530703731000076,48.183274331000064,2017,3,14,6,0,5,3,1
